"id","product_search_description","meta_data","","","","","","","","","","","","","","","","",""
"9204","men footwear shoes casual shoes black summer casual puma men future cat remix sf black casual shoes","{'id': 9204, 'name': 'Puma Men Future Cat Remix SF Black Casual Shoes', 'variant': 'Future Cat Remix SF', 'brand': 'Puma', 'price': 4999, 'discounted_price': 4999, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/051d64772f1b38ff476fbf0a807f365a_images.jpg'}","","","","","","","","","","","","","","","","",""
"48123","women accessories belts belts black summer casual fossil women black huarache weave belt","{'id': 48123, 'name': 'Fossil Women Black Huarache Weave Belt', 'variant': 'Huarache Weave', 'brand': 'Fossil', 'price': 1750, 'discounted_price': 1750, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/8eee4563e14cf451b07f27761fd6535f_images.jpg'}","","","","","","","","","","","","","","","","",""
"18653","men footwear flip flops flip flops black fall casual fila men cush flex black slippers","{'id': 18653, 'name': 'Fila Men Cush Flex Black Slippers', 'variant': 'Cush Flex', 'brand': 'FILA', 'price': 799, 'discounted_price': 799, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/53690e3f396f411e184b249672d6ebae_images.jpg'}","","","","","","","","","","","","","","","","",""
"47957","women accessories bags handbags blue summer casual murcia women blue handbag","{'id': 47957, 'name': 'Murcia Women Blue Handbag', 'variant': 'Ladies hand Bag', 'brand': 'Murcia', 'price': 750, 'discounted_price': 750, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/Murcia-Women-Blue-Handbag_13cfaff26872c298112a8e7da15c1e1d_images.jpg'}","","","","","","","","","","","","","","","","",""
"46885","boys footwear flip flops flip flops navy blue fall casual ben 10 boys navy blue slippers","{'id': 46885, 'name': 'Ben 10 Boys Navy Blue Slippers', 'variant': 'Ben 10 Boys Navy Blue Slippers', 'brand': 'Ben 10', 'price': 399, 'discounted_price': 399, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/5cab6a2305d0e63142f721228aa6d293_images.jpg'}","","","","","","","","","","","","","","","","",""
"12369","men apparel topwear shirts purple fall formal reid & taylor men check purple shirts","{'id': 12369, 'name': 'Reid & Taylor Men Check Purple Shirts', 'variant': 'Check', 'brand': 'Reid & Taylor', 'price': 1995, 'discounted_price': 1995, 'usage': 'Formal', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/8bc9be576081baae77e8561b1132288f_images.jpg'}","","","","","","","","","","","","","","","","",""
"29928","men accessories watches watches black winter casual police men black dial watch pl12889jvsb","{'id': 29928, 'name': 'Police Men Black Dial Watch PL12889JVSB', 'variant': '3 Hands,Date', 'brand': 'Police', 'price': 11500, 'discounted_price': 11500, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/Police-Men-Black-Dial-Watch_5bd8cae4fc61052a6f00cfcd69c4a936_images.jpg'}","","","","","","","","","","","","","","","","",""
"42419","girls apparel topwear tops white summer casual gini and jony girls knit white top","{'id': 42419, 'name': 'Gini and Jony Girls Knit White Top', 'variant': 'Knits', 'brand': 'Gini and Jony', 'price': 299, 'discounted_price': 149, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg'}","","","","","","","","","","","","","","","","",""
"51832","women apparel innerwear bra beige summer casual bwitch beige full-coverage bra bw335","{'id': 51832, 'name': 'Bwitch Beige Full-Coverage Bra BW335', 'variant': 'Bra Cotton Lycra NonPaddedNonWired BW', 'brand': 'Bwitch', 'price': 499, 'discounted_price': 499, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/image/style/properties/51832/Bwitch-Beige-Full-Coverage-Bra-BW335_1_d516fa94f14f0a5ecc90df7754390eb5.jpg'}","","","","","","","","","","","","","","","","",""
"47359","women accessories bags handbags brown summer casual baggit women brown handbag","{'id': 47359, 'name': 'Baggit Women Brown Handbag', 'variant': 'PRAISE SAPERA TAN', 'brand': 'Baggit', 'price': 2400, 'discounted_price': 2400, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/b14c7bf275c6edca3e849200fb7cbf6c_images.jpg'}","","","","","","","","","","","","","","","","",""
"17429","men accessories watches watches black winter casual casio g-shock men black digital watch g-7710-1dr g223","{'id': 17429, 'name': 'CASIO G-Shock Men Black Digital Watch G-7710-1DR G223', 'variant': 'G-shock', 'brand': 'CASIO', 'price': 5495, 'discounted_price': 5495, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/assets/images/17429/2018/3/5/11520250143953-CASIO-G-Shock-Men-Black-Digital-Watch-G223-8211520250143786-1.jpg'}","","","","","","","","","","","","","","","","",""
"12967","men footwear sandal sandals black fall casual adidas men spry m black sandals","{'id': 12967, 'name': 'ADIDAS Men Spry M Black Sandals', 'variant': 'Spry M', 'brand': 'ADIDAS', 'price': 1799, 'discounted_price': 1799, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/c5a22e9ccf9b10e0a89ffbbf3e386584_images.jpg'}","","","","","","","","","","","","","","","","",""
"6842","unisex accessories shoe accessories shoe accessories black summer casual timberland unisex rubber sole brush shoe accessories","{'id': 6842, 'name': 'Timberland Unisex Rubber Sole Brush Shoe Accessories', 'variant': 'RUBBER SOLE BRUSH', 'brand': 'Timberland', 'price': 190, 'discounted_price': 190, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/92589dc7416b70f1a5c6a4c1f13d14e3_images.jpg'}","","","","","","","","","","","","","","","","",""
"13089","men apparel topwear sweatshirts grey fall sports adidas men lfc auth hood grey sweatshirts","{'id': 13089, 'name': 'ADIDAS Men Lfc Auth Hood Grey Sweatshirts', 'variant': 'LFC AUTH HOOD', 'brand': 'ADIDAS', 'price': 2699, 'discounted_price': 2699, 'usage': 'Sports', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/59912a0287751ff0475c8748dbcf4ea0_images.jpg'}","","","","","","","","","","","","","","","","",""
"18461","men personal care fragrance deodorant white spring casual david beckham signature men deos","{'id': 18461, 'name': 'David Beckham Signature Men Deos', 'variant': 'Signature', 'brand': 'DAVID BECKHAM', 'price': 300, 'discounted_price': 300, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/3295fc148576955745c0b259d7968727_images.jpg'}","","","","","","","","","","","","","","","","",""
"9036","men footwear shoes formal shoes black winter formal buckaroo men flores black formal shoes","{'id': 9036, 'name': 'Buckaroo Men Flores Black Formal Shoes', 'variant': 'FLORES', 'brand': 'Buckaroo', 'price': 2295, 'discounted_price': 2295, 'usage': 'Formal', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/06edc2da9c6d103d299e5e8dafc5b6b9_images.jpg'}","","","","","","","","","","","","","","","","",""
"48311","women accessories jewellery bracelet bronze winter casual pitaraa women bronze beaded bracelet","{'id': 48311, 'name': 'Pitaraa Women Bronze Beaded Bracelet', 'variant': 'BRASS BEAD', 'brand': 'Pitaraa', 'price': 449, 'discounted_price': 449, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/Pitaraa-Women-Golden-Brass-Bead-Bracelet_179aa06939858b54e8e6c80fe12d94d5_images.jpg'}","","","","","","","","","","","","","","","","",""
"7990","men apparel topwear tshirts navy blue fall sports fila men's round neck navy blue t-shirt","{'id': 7990, 'name': ""Fila Men's Round Neck Navy Blue T-shirt"", 'variant': 'CREW NECK (CENTER HOR STR PRN)', 'brand': 'FILA', 'price': 649, 'discounted_price': 649, 'usage': 'Sports', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/296a8c388d05d67346db88af27d3b763_images.jpg'}","","","","","","","","","","","","","","","","",""
"56019","women personal care lips lipstick brown spring casual colorbar soft touch show stopper copper lipstick 037","{'id': 56019, 'name': 'Colorbar Soft Touch Show Stopper Copper Lipstick 037', 'variant': 'SOFT TOUCH', 'brand': 'Colorbar', 'price': 450, 'discounted_price': 360, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/assets/images/56019/2019/1/11/49d718c4-6d86-42d1-8d00-1ce4b7851b2c1547190759839-Colorbar-Soft-Touch-Show-Stopper-Copper-Lipstick-037-2715471-1.jpg'}","","","","","","","","","","","","","","","","",""
"21977","women accessories bags handbags brown winter casual murcia women casual brown handbag","{'id': 21977, 'name': 'Murcia Women Casual Brown Handbag', 'variant': 'Casual', 'brand': 'Murcia', 'price': 1560, 'discounted_price': 1560, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/88d0bc675d72477729f38c30332e749a_images.jpg'}","","","","","","","","","","","","","","","","",""
"37812","men apparel topwear shirts navy blue summer formal john players men navy blue shirt","{'id': 37812, 'name': 'John Players Men Navy Blue Shirt', 'variant': 'FREE FIT', 'brand': 'John Players', 'price': 1599, 'discounted_price': 1599, 'usage': 'Formal', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/3af9f145845d8453a066322de35980af_images.jpg'}","","","","","","","","","","","","","","","","",""
"4729","boys apparel topwear tshirts green summer casual disney kids boy's crew sea life sialing green teen kidswear","{'id': 4729, 'name': ""Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear"", 'variant': 'Disney kids boys green Crew Sea Life Sialing', 'brand': 'Disney', 'price': 649, 'discounted_price': 649, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg'}","","","","","","","","","","","","","","","","",""
"56825","men apparel topwear shirts brown summer casual john players men brown shirt","{'id': 56825, 'name': 'John Players Men Brown Shirt', 'variant': 'WASHED CHECK SHIRTS', 'brand': 'John Players', 'price': 949, 'discounted_price': 949, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/John-Players-Men-Brown-Shirt_7eec3b0568f65dc8f39a534376538551_images.jpg'}","","","","","","","","","","","","","","","","",""
"39988","men footwear shoes casual shoes white winter casual gas men europa white shoes","{'id': 39988, 'name': 'Gas Men Europa White Shoes', 'variant': 'EUROPA 01', 'brand': 'GAS', 'price': 3300, 'discounted_price': 3300, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/9c3d77147758ab10f12caf6184fe13ef_images.jpg'}","","","","","","","","","","","","","","","","",""
"59051","women footwear shoes flats black winter casual carlton london women black & gold toned flats","{'id': 59051, 'name': 'Carlton London Women Black & Gold Toned Flats', 'variant': 'Sandals', 'brand': 'Carlton London', 'price': 2995, 'discounted_price': 2995, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/Carlton-London-Women-Black-Gladiator-Sandals_b8f695202ccc1889f65d57b4000a888f_images.jpg'}","","","","","","","","","","","","","","","","",""
"20099","women apparel topwear kurtas green fall ethnic diva women embroided green kurta","{'id': 20099, 'name': 'Diva Women Embroided Green Kurta', 'variant': 'Embroided', 'brand': 'DIVA', 'price': 799, 'discounted_price': 799, 'usage': 'Ethnic', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/08a0c29d2ea67ca9449aa54466f6b0a1_images.jpg'}","","","","","","","","","","","","","","","","",""
"58183","women accessories bags handbags white summer casual rocky s women white handbag","{'id': 58183, 'name': 'Rocky S Women White Handbag', 'variant': 'RS/S11/WHT/LO-186  Victoria', 'brand': 'Rocky S', 'price': 3895, 'discounted_price': 3895, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/Rocky-S-Women-White-Handbag_1440a0abd2ddaf3199965e604831b164_images.jpg'}","","","","","","","","","","","","","","","","",""
"29742","women accessories bags handbags teal summer casual kiara women teal handbag","{'id': 29742, 'name': 'Kiara Women Teal Handbag', 'variant': 'Leatherette', 'brand': 'KIARA', 'price': 1850, 'discounted_price': 1850, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/8b58c65e5634233b165c40cdbbcf58b8_images.jpg'}","","","","","","","","","","","","","","","","",""
"51658","women accessories watches watches copper winter casual fossil women copper chronograph watch ch2589","{'id': 51658, 'name': 'Fossil Women Copper Chronograph Watch CH2589', 'variant': 'Chronograph', 'brand': 'Fossil', 'price': 6495, 'discounted_price': 6495, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/072af0cd079f20296c72f3594a21f141_images.jpg'}","","","","","","","","","","","","","","","","",""
"3954","women apparel topwear tshirts pink summer casual jealous 21 women's pink t-shirt","{'id': 3954, 'name': ""Jealous 21 Women's Pink T-shirt"", 'variant': 'JEalous Women Pink 2 Girls tee', 'brand': 'Jealous 21', 'price': 599, 'discounted_price': 599, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/b56e261f9206aa95e42c43f4e62d0e5a_images.jpg'}","","","","","","","","","","","","","","","","",""
"18839","men accessories belts belts black fall formal peter england men formal black belt","{'id': 18839, 'name': 'Peter England Men Formal Black Belt', 'variant': 'Peter England Men Formal Black Belt', 'brand': 'Peter England', 'price': 699, 'discounted_price': 699, 'usage': 'Formal', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/Peter-England-Men-Formal-Black-Beltbc472bd919c505690ecbc1eed8af7fbf_images.jpg'}","","","","","","","","","","","","","","","","",""
"2886","women footwear shoes flats brown winter casual catwalk women leather brown flats","{'id': 2886, 'name': 'Catwalk Women Leather Brown Flats', 'variant': 'Catwalk Leather cut boots', 'brand': 'Catwalk', 'price': 995, 'discounted_price': 995, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/94a9deea53125663d9bbe61cb38b84b4_images.jpg'}","","","","","","","","","","","","","","","","",""
"23278","men accessories watches watches off white winter casual maxima ssteele men off white watch","{'id': 23278, 'name': 'Maxima Ssteele Men Off White Watch', 'variant': 'ssteele', 'brand': 'maxima', 'price': 2495, 'discounted_price': 2495, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/93aa34922c6446706c003ba2255747f5_images.jpg'}","","","","","","","","","","","","","","","","",""
"28690","women apparel topwear kurtas beige summer ethnic w women printed beige kurta","{'id': 28690, 'name': 'W Women Printed Beige Kurta', 'variant': 'Round NeckKurta-Print38"" LShort slv', 'brand': 'W', 'price': 999, 'discounted_price': 999, 'usage': 'Ethnic', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/df0a23e732654c5e7db3888e39393e79_images.jpg'}","","","","","","","","","","","","","","","","",""
"8580","men apparel topwear waistcoat grey fall casual scullers men grey waistcoat","{'id': 8580, 'name': 'Scullers Men  Grey Waistcoat', 'variant': 'SCUL', 'brand': 'SCULLERS', 'price': 1699, 'discounted_price': 1699, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/0d2e2ceaaf6d09d447caad678b2edbe6_images.jpg'}","","","","","","","","","","","","","","","","",""
"3168","men footwear shoes sports shoes white fall sports nike men's incinerate msl white blue shoe","{'id': 3168, 'name': ""Nike Men's Incinerate MSL White Blue Shoe"", 'variant': 'White Blue NIKE INCINERATE MSL', 'brand': 'Nike', 'price': 3300, 'discounted_price': 3300, 'usage': 'Sports', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/4eff2353c62ec8b7bca9fbbaf5996bd2_images.jpg'}","","","","","","","","","","","","","","","","",""
"18005","men apparel bottomwear shorts black summer sports puma men long logo black bermuda","{'id': 18005, 'name': 'Puma Men Long Logo Black Bermuda', 'variant': 'Long Logo', 'brand': 'Puma', 'price': 1399, 'discounted_price': 1399, 'usage': 'Sports', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/91ca48e3204f23cd376fad7f186875bf_images.jpg'}","","","","","","","","","","","","","","","","",""
"17871","men apparel innerwear briefs maroon winter casual levis men boxer maroon brief","{'id': 17871, 'name': 'Levis Men Boxer Maroon Brief', 'variant': 'Boxer', 'brand': 'Levis', 'price': 225, 'discounted_price': 225, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/155353efc674d253e30c213ca07bbb0b_images.jpg'}","","","","","","","","","","","","","","","","",""
"9452","men apparel topwear shirts red fall formal john miller men stripes white red shirts","{'id': 9452, 'name': 'John Miller Men Stripes White Red Shirts', 'variant': 'Stripes White', 'brand': 'John Miller', 'price': 1049, 'discounted_price': 1049, 'usage': 'Formal', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/5e557eb0be7c6420f7c7a6bbaa432993_images.jpg'}","","","","","","","","","","","","","","","","",""
"38402","women accessories belts belts black summer casual baggit women hood dabang black belt","{'id': 38402, 'name': 'Baggit Women Hood Dabang Black Belt', 'variant': 'B HOOD DHABANG BLACK', 'brand': 'Baggit', 'price': 300, 'discounted_price': 297, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/2eb3aa5eefb3319f10f7815100a18e3c_images.jpg'}","","","","","","","","","","","","","","","","",""
"44984","women accessories watches watches white winter casual maxima women white dial watch","{'id': 44984, 'name': 'Maxima Women White Dial Watch', 'variant': '18313BMLIC', 'brand': 'maxima', 'price': 1325, 'discounted_price': 1325, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/676dd802241d46a5ce28c78d1dabbc5a_images.jpg'}","","","","","","","","","","","","","","","","",""
"10268","men footwear shoes formal shoes black fall formal clarks men hang work leather black formal shoes","{'id': 10268, 'name': 'Clarks Men Hang Work Leather Black Formal Shoes', 'variant': 'HANG WORK BLACK LEATHER', 'brand': 'Clarks', 'price': 2499, 'discounted_price': 2499, 'usage': 'Formal', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/2976e4095e7b3ae2de99df54d2adeaaa_images.jpg'}","","","","","","","","","","","","","","","","",""
"45856","women apparel topwear kurtas brown summer ethnic vishudh women brown kurta","{'id': 45856, 'name': 'Vishudh Women Brown Kurta', 'variant': 'Vishudh Women BROWN Kurtas', 'brand': 'Vishudh', 'price': 549, 'discounted_price': 549, 'usage': 'Ethnic', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/fee54b57fcd02b7c07d42b0918025099_images.jpg'}","","","","","","","","","","","","","","","","",""
"32138","men apparel innerwear briefs blue summer casual playboy men blue titanium briefs","{'id': 32138, 'name': 'Playboy Men Blue Titanium Briefs', 'variant': 'Titanium', 'brand': 'Playboy', 'price': 214, 'discounted_price': 214, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/Playboy-Men-Blue-Titanium-Briefs_5c63c52edabbab43f6aefc52842d73f2_images.jpg'}","","","","","","","","","","","","","","","","",""
"59435","men footwear shoes formal shoes black summer formal arrow men black formal shoes","{'id': 59435, 'name': 'Arrow Men Black Formal Shoes', 'variant': 'Arrow Formal Shoes Black', 'brand': 'Arrow', 'price': 3999, 'discounted_price': 3999, 'usage': 'Formal', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/Arrow-Men-Black-Formal-Shoes_70a3c7c185338a5636c8c0e668829bb6_images.jpg'}","","","","","","","","","","","","","","","","",""
"5891","men apparel topwear tshirts black summer casual puma men's stripe polo black t-shirt","{'id': 5891, 'name': ""Puma Men's Stripe Polo Black T-shirt"", 'variant': 'Puma Stripe Polo', 'brand': 'Puma', 'price': 1099, 'discounted_price': 1099, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/02e4e32cd9d09052f0ec3d46fa747d39_images.jpg'}","","","","","","","","","","","","","","","","",""
"38630","women apparel topwear tshirts purple summer casual nike women purple polo t-shirt","{'id': 38630, 'name': 'Nike Women Purple Polo T-shirt', 'variant': 'AS PIQUE GRAPHIC POLO', 'brand': 'Nike', 'price': 1295, 'discounted_price': 1295, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/206a0614c4644cd8816576efd47d60d8_images.jpg'}","","","","","","","","","","","","","","","","",""
"4943","men apparel topwear shirts white summer casual gini and jony boy's kaleb white brown kidswear","{'id': 4943, 'name': ""Gini and Jony Boy's Kaleb White Brown Kidswear"", 'variant': 'KALEB BRM-SHI', 'brand': 'Gini and Jony', 'price': 949, 'discounted_price': 427, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/1aae016d0abb224cfc18e6bd9bb01ad1_images.jpg'}","","","","","","","","","","","","","","","","",""
"11188","men accessories watches watches silver winter casual carrera men dial steel finish strap silver watches","{'id': 11188, 'name': 'Carrera Men Dial steel finish strap Silver Watches', 'variant': 'Dial steel finish strap', 'brand': 'Carrera', 'price': 11950, 'discounted_price': 11950, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/b2959d44db543af13d78492225a830de_images.jpg'}","","","","","","","","","","","","","","","","",""
"10866","men apparel topwear tshirts red fall casual wrangler men motor rider red t-shirts","{'id': 10866, 'name': 'Wrangler Men Motor Rider Red T-Shirts', 'variant': 'MOTOR RIDER', 'brand': 'Wrangler', 'price': 945, 'discounted_price': 945, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/b34550bc6415dcd66892de4ef2837fd9_images.jpg'}","","","","","","","","","","","","","","","","",""
"59607","women apparel saree sarees grey fall ethnic fnf pink & grey wedding collection sari","{'id': 59607, 'name': 'FNF Pink & Grey Wedding Collection Sari', 'variant': 'Embroidered Collection for Wedding Wear', 'brand': 'FNF', 'price': 9000, 'discounted_price': 9000, 'usage': 'Ethnic', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/FNF-Green-Collection-for-Wedding-Wear-Sari_6c60eef0b8d9cff87cfcd1f73953e5cd_images.jpg'}","","","","","","","","","","","","","","","","",""
"15528","men apparel topwear tshirts black fall casual puma men scribble black tshirts","{'id': 15528, 'name': 'Puma Men Scribble Black Tshirts', 'variant': 'Scribble', 'brand': 'Puma', 'price': 799, 'discounted_price': 799, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/cd16e955e4b6b3f9d7089c15652a3f00_images.jpg'}","","","","","","","","","","","","","","","","",""
"45258","men accessories watches watches black winter casual casio edifice men black dial chronograph watch ed60","{'id': 45258, 'name': 'CASIO EDIFICE Men Black Dial Chronograph Watch ED60', 'variant': 'Chronograph', 'brand': 'CASIO', 'price': 3995, 'discounted_price': 3995, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/b8024bdd3fc47c2b20bd840f89811979_images.jpg'}","","","","","","","","","","","","","","","","",""
"42841","women accessories bags handbags beige summer casual french connection women beige handbag","{'id': 42841, 'name': 'French Connection Women Beige Handbag', 'variant': 'Bettina Pleather Shoulder', 'brand': 'French Connection', 'price': 4699, 'discounted_price': 4699, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/97d3bb4a71c9f7da88305ce9144d8576_images.jpg'}","","","","","","","","","","","","","","","","",""
"22198","men footwear shoes casual shoes black fall casual timberland men black casual shoes","{'id': 22198, 'name': 'Timberland Men Black Casual Shoes', 'variant': 'Casual', 'brand': 'Timberland', 'price': 7690, 'discounted_price': 7690, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/70e74ca34b3b534b19d6b006d5bfad0a_images.jpg'}","","","","","","","","","","","","","","","","",""
"29570","men footwear shoes casual shoes purple summer casual vans men classic slip-on purple & black shoes","{'id': 29570, 'name': 'Vans Men Classic Slip-On Purple & Black Shoes', 'variant': 'Classic Slip-On', 'brand': 'Vans', 'price': 2299, 'discounted_price': 2299, 'usage': 'Casual', 'image_url': 'http://assets.myntassets.com/v1/images/style/properties/49f884ddf4420d869ad143857d3bc33d_images.jpg'}","","","","","","","","","","","","","","","","",""
